Korridor 1,Korridor 2,Fahrten
Thunersee-Nordufer (z.B. Bus 21),Steffisburg-Korridor (z.B. Bus 41/42/43),13.70073951
Steffisburg-Korridor (z.B. Bus 41/42/43),Thunersee-Nordufer (z.B. Bus 21),13.70073951
SBB IC/EC/ICE – Bern (z.B. Zürich),Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),13.45241782
Steffisburg Ziegeleistrasse Homberg (z.B Bus 33),SBB IC/EC/ICE – Bern (z.B. Zürich),13.45241782
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),Blumenstein/Wattenwil (z.B. Bus 50/51),11.8540454
Blumenstein/Wattenwil (z.B. Bus 50/51),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),11.8540454
Münsingen/Wichtrach (z.B. Bus M15),Stocken/Pohlern (z.B. Bus 3),11.82370408
Stocken/Pohlern (z.B. Bus 3),Münsingen/Wichtrach (z.B. Bus M15),11.82370408
Heiligenschwendi (z.B. Bus 31/32),SBB IC/EC/ICE – Spiez Brig Interlaken,11.75655096
SBB IC/EC/ICE – Spiez Brig Interlaken,Heiligenschwendi (z.B. Bus 31/32),11.75655096
Thunersee-Nordufer (z.B. Bus 21),BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),11.50948996
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),Thunersee-Nordufer (z.B. Bus 21),11.50948996
BLS S44/S4 – Gürbetal/Seftigen,Waldeck (z.B. Bus 4),10.50814559
Waldeck (z.B. Bus 4),BLS S44/S4 – Gürbetal/Seftigen,10.50814559
Blumenstein/Wattenwil (z.B. Bus 50/51),Steffisburg-Korridor (z.B. Bus 41/42/43),7.687128186
Steffisburg-Korridor (z.B. Bus 41/42/43),Blumenstein/Wattenwil (z.B. Bus 50/51),7.687128186
Spiez/Einigen (z.B. Bus 1),Blumenstein/Wattenwil (z.B. Bus 50/51),7.487891819
Blumenstein/Wattenwil (z.B. Bus 50/51),Spiez/Einigen (z.B. Bus 1),7.487891819
BLS S1 – Freiburg/Fribourg ↔ Bern,Heiligenschwendi (z.B. Bus 31/32),7.358224416
Heiligenschwendi (z.B. Bus 31/32),BLS S1 – Freiburg/Fribourg ↔ Bern,7.358224416
Heiligenschwendi (z.B. Bus 31/32),BLS S44/S4 – Gürbetal/Seftigen,7.353990235
BLS S44/S4 – Gürbetal/Seftigen,Heiligenschwendi (z.B. Bus 31/32),7.353990235
Waldeck (z.B. Bus 4),Steffisburg-Korridor (z.B. Bus 41/42/43),6.393189257
Steffisburg-Korridor (z.B. Bus 41/42/43),Waldeck (z.B. Bus 4),6.393189257
Steffisburg-Korridor (z.B. Bus 41/42/43),Spiez/Einigen (z.B. Bus 1),6.121755856
Spiez/Einigen (z.B. Bus 1),Steffisburg-Korridor (z.B. Bus 41/42/43),6.121755856
BLS S1 – Freiburg/Fribourg ↔ Bern,BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),5.599278278
BLS RE1 – Lötschberg-Südrampe (z.B. „Goppenstein“),BLS S1 – Freiburg/Fribourg ↔ Bern,5.599278278
Blumenstein/Wattenwil (z.B. Bus 50/51),Thunersee-Nordufer (z.B. Bus 21),5.16056203
Thunersee-Nordufer (z.B. Bus 21),Blumenstein/Wattenwil (z.B. Bus 50/51),5.16056203
Waldeck (z.B. Bus 4),BLS S41/S42 – Heimberg/Steffisburg,4.898010015
BLS S41/S42 – Heimberg/Steffisburg,Waldeck (z.B. Bus 4),4.898010015
